cc,cd,dc,dd,game_type,perc_cooperators,max_pos_pressure,max_neg_pressure
4.199999999999999,1.1999999999999997,3.8000000000000003,-0.19999999999999973,Cdom,0.6,6,6
4.5,1.5,3.5,-0.5,Cdom,0.625,6,6
4.800000000000001,1.8000000000000003,3.1999999999999997,-0.8000000000000003,Cdom,0.65,6,6
5.1000000000000005,2.1000000000000005,2.8999999999999995,-1.1000000000000005,Cdom,0.675,6,6
5.3999999999999995,2.3999999999999995,2.6000000000000005,-1.3999999999999995,Cdom,0.7,6,6
5.699999999999999,2.6999999999999997,2.3000000000000003,-1.6999999999999997,Cdom,0.725,6,6
6.0,3.0,2.0,-2.0,Cdom,0.75,6,6
6.300000000000001,3.3000000000000003,1.6999999999999997,-2.3000000000000003,Cdom,0.775,6,6
6.6000000000000005,3.6000000000000005,1.3999999999999995,-2.6000000000000005,Cdom,0.8,6,6
6.8999999999999995,3.8999999999999995,1.1000000000000005,-2.8999999999999995,Cdom,0.825,6,6
7.199999999999999,4.199999999999999,0.8000000000000007,-3.1999999999999993,Cdom,0.85,6,6
