cai,coop_degree,order_degree,numsim,numrounds,R,S,T,P,tolerance,influence_type,interaction_type,dims,numagents,pr_defector,pr_cooperator,pr_neutral,max_positive_pressure,max_negative_pressure,adv_mutation_rate,move_mutation_rate,weight_of_present_for_adv,weight_of_present_for_move,adv_reassess_frequency,move_reassess_frequency,move_increment
0.0037076802864418382,0.0,0.9936220127559745,13,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(10, 10)",100,0.5,0.5,0.0,0.0,0.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.003190194681963209,0.0,0.994480011039978,14,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(10, 10)",100,0.5,0.5,0.0,0.0,0.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.003552951203376633,0.0,0.9940920118159764,15,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(10, 10)",100,0.5,0.5,0.0,0.0,0.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.0037512850907038785,0.0,0.9936500126999745,16,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(10, 10)",100,0.5,0.5,0.0,0.0,0.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.003373248082115665,0.0,0.9946420107159786,17,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(10, 10)",100,0.5,0.5,0.0,0.0,0.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.003542126203144263,0.0,0.9935860128279743,18,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(10, 10)",100,0.5,0.5,0.0,0.0,0.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.003589213702112005,0.0,0.9936220127559745,19,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(10, 10)",100,0.5,0.5,0.0,0.0,0.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.003053404980748487,0.0,0.9947900104199792,20,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(10, 10)",100,0.5,0.5,0.0,0.0,0.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.0036114768805343175,0.0,0.9929740140519719,21,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(10, 10)",100,0.5,0.5,0.0,0.0,0.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.003660101129371577,0.0,0.9938600122799754,22,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(10, 10)",100,0.5,0.5,0.0,0.0,0.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.003229168126771312,0.0,0.9941720116559767,23,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(10, 10)",100,0.5,0.5,0.0,0.0,0.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.0037666816795161417,0.0,0.9933020133959732,24,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(10, 10)",100,0.5,0.5,0.0,0.0,0.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.003494223256216692,0.0,0.9940260119479761,25,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(10, 10)",100,0.5,0.5,0.0,0.0,0.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.0036711578831700735,0.0,0.9934880130239739,26,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(10, 10)",100,0.5,0.5,0.0,0.0,0.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.0038569492776545683,0.0,0.9947320105359789,27,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(10, 10)",100,0.5,0.5,0.0,0.0,0.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.003800816511215005,0.0,0.9928620142759714,28,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(10, 10)",100,0.5,0.5,0.0,0.0,0.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.0035730719939588433,0.0,0.9938840122319755,29,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(10, 10)",100,0.5,0.5,0.0,0.0,0.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.0036239524509501866,0.0,0.9936500126999745,30,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(10, 10)",100,0.5,0.5,0.0,0.0,0.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.003645032342284767,0.0,0.9931660136679726,31,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(10, 10)",100,0.5,0.5,0.0,0.0,0.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.0036671953920189865,0.0,0.9940160119679761,32,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(10, 10)",100,0.5,0.5,0.0,0.0,0.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.003249867663510646,0.0,0.9953200093599813,33,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(10, 10)",100,0.5,0.5,0.0,0.0,0.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.0035485154939490352,0.0,0.994492011015978,34,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(10, 10)",100,0.5,0.5,0.0,0.0,0.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.003469629613120748,0.0,0.9944340111319777,35,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(10, 10)",100,0.5,0.5,0.0,0.0,0.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.0032701069118045087,0.0,0.995238009523981,36,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(10, 10)",100,0.5,0.5,0.0,0.0,0.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.0033789642291712526,0.0,0.9941020117959765,37,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(10, 10)",100,0.5,0.5,0.0,0.0,0.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.003511620240270782,0.0,0.9941980116039768,38,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(10, 10)",100,0.5,0.5,0.0,0.0,0.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.0031336897225585293,0.0,0.9951040097919804,39,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(10, 10)",100,0.5,0.5,0.0,0.0,0.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.0030571430896164263,0.0,0.9952220095559808,40,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(10, 10)",100,0.5,0.5,0.0,0.0,0.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.003743560225034264,0.0,0.9936260127479745,41,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(10, 10)",100,0.5,0.5,0.0,0.0,0.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.003579563311557341,0.0,0.9938400123199753,42,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(10, 10)",100,0.5,0.5,0.0,0.0,0.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.003850567322039807,0.0,0.9944980110039779,43,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(10, 10)",100,0.5,0.5,0.0,0.0,0.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.003952081213471628,0.0,0.9931040137919724,44,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(10, 10)",100,0.5,0.5,0.0,0.0,0.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.003622933507468614,0.0,0.9943580112839774,45,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(10, 10)",100,0.5,0.5,0.0,0.0,0.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.003925898413737157,0.0,0.9936300127399745,46,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(10, 10)",100,0.5,0.5,0.0,0.0,0.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.0032768875850214623,0.0,0.9946760106479787,47,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(10, 10)",100,0.5,0.5,0.0,0.0,0.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.0036768140182980996,0.0,0.9934320131359737,48,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(10, 10)",100,0.5,0.5,0.0,0.0,0.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.003583437815435882,0.0,0.9942020115959768,49,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(10, 10)",100,0.5,0.5,0.0,0.0,0.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
