cai,coop_degree,order_degree,numsim,numrounds,R,S,T,P,tolerance,influence_type,interaction_type,dims,numagents,pr_defector,pr_cooperator,pr_neutral,max_positive_pressure,max_negative_pressure,adv_mutation_rate,move_mutation_rate,weight_of_present_for_adv,weight_of_present_for_move,adv_reassess_frequency,move_reassess_frequency,move_increment
0.2656076784432433,0.048473582945498084,0.45011509976980046,12,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(4, 4)",16,0.5,0.5,0.0,2.0,2.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.2723613153162843,0.05719433841485099,0.44591310817378366,13,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(4, 4)",16,0.5,0.5,0.0,2.0,2.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.24155805885272894,0.04929743435541939,0.5164589670820658,14,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(4, 4)",16,0.5,0.5,0.0,2.0,2.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.2501678031683549,0.03749914774664213,0.4869430261139478,15,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(4, 4)",16,0.5,0.5,0.0,2.0,2.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.2368953696185624,0.05397874396135265,0.5454329091341817,16,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(4, 4)",16,0.5,0.5,0.0,2.0,2.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.26016437778173024,0.055978169929592876,0.49223901552196897,17,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(4, 4)",16,0.5,0.5,0.0,2.0,2.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.27403831909073145,0.07825901310659786,0.4646510706978586,18,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(4, 4)",16,0.5,0.5,0.0,2.0,2.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.26479171864559803,0.06966984631457881,0.48734702530594937,19,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(4, 4)",16,0.5,0.5,0.0,2.0,2.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.24398897787638005,0.0409951513791771,0.5011069977860044,20,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(4, 4)",16,0.5,0.5,0.0,2.0,2.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.28437740804388595,0.0689827816136946,0.4697250605498789,21,500000,3.0,0.0,4.0,1.0,0.05,local,local,"(4, 4)",16,0.5,0.5,0.0,2.0,2.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
