cai,coop_degree,order_degree,numsim,numrounds,R,S,T,P,tolerance,num_defectors,num_cooperators,num_neutral,max_positive_pressure,max_negative_pressure,adv_mutation_rate,move_mutation_rate,weight_of_present_for_adv,weight_of_present_for_move,adv_reassess_frequency,move_reassess_frequency,move_increment
0.06403348513107668,0.00416889861890677,0.8623182753634493,10,500000,2.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.05869640183326879,0.004509907292513186,0.8726702546594907,11,500000,2.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.0611681744048924,0.00766936025078831,0.8768882462235076,12,500000,2.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.05067806992265179,0.0013202794930126745,0.8873442253115494,13,500000,2.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.061336312259233645,0.002465997203508326,0.86750226499547,14,500000,2.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.05391871256934078,0.00342782943483946,0.8840422319155361,15,500000,2.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.05966926179361429,0.003951138660992764,0.8710242579514842,16,500000,2.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.06010199761442755,0.0030381232484584125,0.8682942634114731,17,500000,2.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.06674781578015111,0.0060221847861086095,0.8623242753514493,18,500000,2.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.060853124116680604,0.00704696117207955,0.8677182645634708,19,500000,2.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.05634992513173012,0.003830049513169775,0.8827282345435309,20,500000,2.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
0.054519619512422235,0.0038415881880772837,0.8879262241475517,21,500000,2.0,0.0,10.0,1.0,0.05,6,6,0,6.0,4.0,0.2,0.15,0.3,0.2,0.03,0.1,0.15
